epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6161,2.04713,9.38218,2.55398,0.61848,0.14293,0.08486,0.03,1.91859,3.47941,2.50493,0.000302333,0.000302333,0.000302333
2,165.357,1.87557,4.11627,2.40244,0.31993,0.25719,0.20336,0.08743,1.85215,3.01059,2.48521,0.000593347,0.000593347,0.000593347
3,248.15,1.88059,3.37399,2.42284,0.31052,0.30252,0.22701,0.10061,1.85493,3.1075,2.47843,0.000872363,0.000872363,0.000872363
4,326.905,1.8736,3.03209,2.41078,0.45952,0.22674,0.23865,0.12434,1.88567,2.8399,2.55883,0.000855005,0.000855005,0.000855005
5,405.828,1.81948,2.7841,2.38747,0.57861,0.32788,0.30492,0.13445,1.92217,2.67748,2.47867,0.000837007,0.000837007,0.000837007
6,484.493,1.78071,2.65452,2.36245,0.29793,0.32608,0.25521,0.12096,1.91587,2.76169,2.59095,0.000819009,0.000819009,0.000819009
7,563.083,1.76886,2.44891,2.35564,0.39023,0.3431,0.32583,0.15367,1.92659,2.54695,2.61209,0.000801011,0.000801011,0.000801011
8,641.903,1.72612,2.33647,2.3021,0.39525,0.34275,0.29798,0.13687,1.90215,2.86272,2.53068,0.000783013,0.000783013,0.000783013
9,720.882,1.70616,2.2716,2.2959,0.44436,0.40091,0.36797,0.17821,1.87811,2.53532,2.52722,0.000765014,0.000765014,0.000765014
10,799.944,1.65654,2.13694,2.26222,0.33325,0.33797,0.31096,0.14413,1.94246,2.56649,2.64518,0.000747016,0.000747016,0.000747016
11,882.414,1.65016,2.10606,2.28277,0.39425,0.3127,0.29101,0.14364,1.90069,2.47348,2.54111,0.000729018,0.000729018,0.000729018
12,963.829,1.61592,1.97871,2.24689,0.4233,0.37714,0.36591,0.16539,2.00913,2.40108,2.63283,0.00071102,0.00071102,0.00071102
13,1042.45,1.58565,1.88325,2.2075,0.46928,0.34224,0.33352,0.17554,1.88047,2.49543,2.57573,0.000693022,0.000693022,0.000693022
14,1121.13,1.55669,1.84192,2.18409,0.40785,0.40483,0.3571,0.18794,1.9297,2.5156,2.62487,0.000675023,0.000675023,0.000675023
15,1200.1,1.53595,1.75385,2.18928,0.44849,0.3588,0.34742,0.17525,1.93233,2.53787,2.69044,0.000657025,0.000657025,0.000657025
16,1279.34,1.50193,1.67496,2.14854,0.3863,0.42083,0.35413,0.16734,2.04049,2.43093,2.71451,0.000639027,0.000639027,0.000639027
17,1362.85,1.48607,1.61048,2.15236,0.4585,0.32662,0.32511,0.15738,1.94589,2.61427,2.67222,0.000621029,0.000621029,0.000621029
18,1449.18,1.44343,1.55103,2.08919,0.38941,0.45637,0.37737,0.17531,1.8938,2.44415,2.66751,0.000603031,0.000603031,0.000603031
19,1533.01,1.42633,1.49973,2.11641,0.42856,0.34361,0.33575,0.15619,2.00396,2.61153,2.76246,0.000585032,0.000585032,0.000585032
20,1618.89,1.39995,1.44586,2.05959,0.39142,0.36777,0.33343,0.15282,1.98528,2.57735,2.74463,0.000567034,0.000567034,0.000567034
21,1703.28,1.39495,1.49266,2.04105,0.40651,0.40443,0.36524,0.1805,1.99607,2.55286,2.75,0.000549036,0.000549036,0.000549036
22,1788.15,1.35744,1.39466,1.99825,0.33087,0.39662,0.33064,0.16265,1.99636,2.64923,2.79954,0.000531038,0.000531038,0.000531038
23,1874.16,1.35267,1.35892,2.01737,0.35966,0.39299,0.32623,0.16497,1.98648,2.7413,2.80637,0.00051304,0.00051304,0.00051304
24,1959.98,1.30623,1.26813,1.96727,0.38171,0.43951,0.357,0.18202,1.94877,2.59318,2.71752,0.000495041,0.000495041,0.000495041
25,2045.07,1.30139,1.25546,1.94971,0.38106,0.40065,0.3289,0.16118,2.01618,2.67965,2.86228,0.000477043,0.000477043,0.000477043
26,2131.97,1.26448,1.18886,1.90209,0.36868,0.4711,0.38194,0.1756,2.0247,2.70795,2.93652,0.000459045,0.000459045,0.000459045
27,2211.6,1.26817,1.20613,1.91012,0.39695,0.35917,0.32851,0.16355,1.99693,3.04974,2.73583,0.000441047,0.000441047,0.000441047
28,2290.69,1.21745,1.12275,1.86613,0.40109,0.40584,0.3586,0.17492,2.03376,2.73891,2.8457,0.000423049,0.000423049,0.000423049
29,2368.83,1.20542,1.06043,1.85553,0.4392,0.38157,0.36184,0.17618,2.04457,2.81397,2.77456,0.00040505,0.00040505,0.00040505
30,2446.77,1.17995,1.06331,1.81207,0.37136,0.42156,0.34596,0.17693,2.05358,2.85969,2.82935,0.000387052,0.000387052,0.000387052
31,2524.61,1.19277,1.06527,1.83256,0.41452,0.35983,0.31997,0.1671,2.02236,2.93976,2.85161,0.000369054,0.000369054,0.000369054
32,2602.45,1.15978,1.05005,1.81335,0.3572,0.38338,0.33141,0.16986,1.95981,2.98235,2.75005,0.000351056,0.000351056,0.000351056
33,2680.31,1.14887,1.0149,1.81612,0.41894,0.31843,0.3413,0.16943,2.0079,2.98597,2.92935,0.000333058,0.000333058,0.000333058
34,2758.14,1.14567,1.02122,1.79575,0.40777,0.36168,0.35492,0.17634,1.98243,2.95323,2.93304,0.000315059,0.000315059,0.000315059
35,2835.88,1.12098,0.95573,1.75634,0.42775,0.35141,0.36851,0.17516,2.04401,3.00892,2.93276,0.000297061,0.000297061,0.000297061
36,2913.75,1.11072,0.94083,1.76495,0.44655,0.35968,0.35716,0.18083,1.97375,3.16261,2.88279,0.000279063,0.000279063,0.000279063
37,2991.56,1.07656,0.92929,1.73681,0.43148,0.41106,0.3767,0.19289,2.01467,3.00063,2.89436,0.000261065,0.000261065,0.000261065
38,3069.35,1.07185,0.92491,1.72496,0.43819,0.32158,0.35272,0.18706,1.98115,3.19549,2.83757,0.000243067,0.000243067,0.000243067
39,3146.97,1.05657,0.87579,1.70876,0.36976,0.36724,0.344,0.18275,2.00765,3.18545,2.93769,0.000225068,0.000225068,0.000225068
40,3224.77,1.04184,0.86472,1.69315,0.46882,0.40985,0.37351,0.18995,2.02648,2.91178,2.93575,0.00020707,0.00020707,0.00020707
41,3302.83,0.90206,0.65954,1.60242,0.43839,0.38434,0.3468,0.17387,2.01834,3.23542,2.94131,0.000189072,0.000189072,0.000189072
42,3380.06,0.88615,0.62555,1.59376,0.42015,0.34065,0.3389,0.17945,1.9927,3.35918,2.92289,0.000171074,0.000171074,0.000171074
43,3457.27,0.86821,0.59587,1.61286,0.38101,0.38905,0.35827,0.19344,2.03673,3.27518,2.9292,0.000153076,0.000153076,0.000153076
44,3534.61,0.83347,0.57248,1.53492,0.38772,0.34887,0.34379,0.1783,1.9996,3.42,2.91788,0.000135077,0.000135077,0.000135077
45,3611.67,0.82181,0.5488,1.52984,0.38617,0.34226,0.33888,0.17951,1.9956,3.37519,2.94817,0.000117079,0.000117079,0.000117079
46,3688.97,0.80515,0.52428,1.50538,0.40985,0.31937,0.33946,0.18174,2.00906,3.40033,3.00585,9.9081e-05,9.9081e-05,9.9081e-05
47,3766.03,0.78442,0.52613,1.4981,0.38729,0.37107,0.36245,0.18527,2.03714,3.42485,2.99433,8.10828e-05,8.10828e-05,8.10828e-05
48,3843.43,0.78186,0.5275,1.4803,0.38765,0.35954,0.3604,0.17765,2.00902,3.46925,2.95161,6.30846e-05,6.30846e-05,6.30846e-05
49,3920.69,0.76572,0.50791,1.48491,0.3921,0.36257,0.35148,0.17649,2.00813,3.49367,2.95905,4.50864e-05,4.50864e-05,4.50864e-05
50,3997.86,0.74759,0.49947,1.43662,0.37463,0.34737,0.35058,0.17486,2.00436,3.50811,2.96053,2.70882e-05,2.70882e-05,2.70882e-05
